,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
920,2-STORY 1946 & NEWER,Residential Low-Density,70,8462,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Normal,Above Average,Average,1994,1994,Gable,Standard (Composite) Shingle,Hard Board,Good,Good,Poured Contrete,Good (90-99 inches),Good,No Exposure,Good Living Quarters,814,Unfinished,0,114,928,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,936,785,1721,2,1,3,1,Good,7,0,No Fireplace,Attached to the home,1994,Rough Finished,2,471,Typical/Average,Typical/Average,Paved,300,87,0,0,0,No Fence,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,201000,23.75324982273694,13
922,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,10237,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,Adjacent to North-South Railroad & Normal,Above Average,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,28,Unfinished,0,1288,1316,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1316,0,1316,2,0,3,1,Good,6,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Finished,2,397,Typical/Average,Typical/Average,Paved,100,0,0,23,0,No Fence,No Extra Feature,0,October 2006,Home just constructed and sold,Home was not completed when last assessed,169990,16.605450815668654,1
923,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,50,8012,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Normal,Above Average,Average,1993,1994,Gable,Standard (Composite) Shingle,Plywood,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,165,Good Living Quarters,841,598,1604,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1617,0,1617,2,0,2,1,Good,5,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1993,Rough Finished,2,533,Typical/Average,Typical/Average,Paved,0,69,0,0,0,No Fence,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,193000,24.088866699950074,15
924,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,79,10240,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Normal,Above Average,Above Average,1980,1980,Gable,Standard (Composite) Shingle,Plywood,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,625,Low Quality,1061,0,1686,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1686,0,1686,2,0,3,1,Average/Typical,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1980,Unfinished,2,612,Typical/Average,Typical/Average,Paved,384,131,0,0,0,No Fence,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,207500,20.263671875,26
925,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,15611,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northwest Ames,Normal,Average,Above Average,1977,1977,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Average Living Quarters,767,Low Quality,93,266,1126,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1126,0,1126,2,0,3,1,Excellent,6,0,No Fireplace,Attached to the home,1977,Rough Finished,2,540,Typical/Average,Typical/Average,Paved,180,0,0,0,0,No Fence,No Extra Feature,0,March 2008,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",175000,11.210044199602844,31
926,2-STORY 1946 & NEWER,Residential Low-Density,93,11999,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Very Good,Average,2003,2004,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1181,1181,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1234,1140,2374,2,1,4,1,Excellent,10,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2003,Finished,3,656,Typical/Average,Typical/Average,Paved,104,100,0,0,0,No Fence,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,285000,23.75197933161097,4
927,2-STORY 1946 & NEWER,Residential Low-Density,0,9900,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Adjacent to feeder street & Normal,Good,Average,1968,1968,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,552,Unfinished,0,280,832,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1098,880,1978,2,1,4,1,Average/Typical,9,1,Good - Masonry Fireplace on the main level,Attached to the home,1968,Rough Finished,2,486,Typical/Average,Typical/Average,Paved,0,43,0,0,0,Good Privacy,No Extra Feature,0,April 2008,Warranty Deed - Conventional,Normal Sale,176000,17.77777777777778,40
928,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11838,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Very Good,Average,2001,2001,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1753,1753,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1788,0,1788,2,0,3,1,Excellent,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Rough Finished,2,522,Typical/Average,Typical/Average,Paved,202,151,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,236500,19.9780368305457,8
929,2-STORY 1946 & NEWER,Residential Low-Density,0,13006,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Gilbert,Normal,Good,Average,1997,1997,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,964,964,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,993,1243,2236,2,1,4,1,Good,8,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1997,Finished,2,642,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,November 2006,Warranty Deed - Conventional,Normal Sale,222000,17.06904505612794,9
930,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,73,8925,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Inside Plot,Gentle Slope,Timberland,Normal,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,16,Unfinished,0,1450,1466,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1466,0,1466,2,0,3,1,Good,7,0,No Fireplace,Attached to the home,2007,Finished,3,610,Typical/Average,Typical/Average,Paved,100,18,0,0,0,No Fence,No Extra Feature,0,July 2009,Warranty Deed - Conventional,Normal Sale,201000,22.521008403361346,2
931,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9100,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1965,1965,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,338,Average Rec Room,466,121,925,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,925,0,925,1,0,2,1,Average/Typical,5,0,No Fireplace,Detached from home,1965,Unfinished,1,429,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Good Wood,No Extra Feature,0,July 2009,Warranty Deed - Conventional,Normal Sale,117500,12.912087912087912,44
932,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,11670,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Somerset,Within 200' of North-South Railroad & Normal,Excellent,Average,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding & Imitation Stucco,Excellent,Average/Typical,Poured Contrete,Good (90-99 inches),Good,No Exposure,Unfinished,0,Unfinished,0,1905,1905,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1905,0,1905,2,0,3,1,Excellent,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Finished,3,788,Typical/Average,Typical/Average,Paved,0,191,0,0,0,No Fence,No Extra Feature,0,March 2007,Warranty Deed - Conventional,Normal Sale,320000,27.420736932305054,1
933,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,63,8487,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,College Creek,Normal,Good,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,20,Unfinished,0,1480,1500,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1500,0,1500,2,0,3,1,Good,6,0,No Fireplace,Attached to the home,2004,Rough Finished,2,570,Typical/Average,Typical/Average,Paved,192,36,0,0,0,No Fence,No Extra Feature,0,August 2009,Warranty Deed - Conventional,Normal Sale,190000,22.387180393543066,5
934,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,313,27650,Paved,No Alley Access,Moderately Irregular,Hillside,All Public Utilities,Inside Plot,Moderate Slope,North Ames,Adjacent to positive off-site feature & Normal,Good,Good,1960,2007,Flat,Gravel & Tar,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,425,Unfinished,0,160,585,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2069,0,2069,2,0,4,1,Good,9,1,Good - Masonry Fireplace on the main level,Attached to the home,1960,Rough Finished,2,505,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,November 2008,Warranty Deed - Conventional,Normal Sale,242000,8.752260397830018,48
935,1-STORY 1945 & OLDER,Residential Low-Density,52,5825,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,Normal,Below Average,Average,1926,1953,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Good,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,600,600,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,747,0,747,1,0,1,1,Average/Typical,5,0,No Fireplace,Detached from home,1953,Unfinished,2,528,Typical/Average,Typical/Average,Paved,0,0,32,0,0,No Fence,No Extra Feature,0,June 2006,Warranty Deed - Conventional,Normal Sale,79900,13.716738197424892,80
936,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,67,10083,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Normal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,833,Unfinished,0,343,1176,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1200,0,1200,2,0,2,1,Good,5,0,No Fireplace,Attached to the home,2003,Rough Finished,2,555,Typical/Average,Typical/Average,Paved,0,41,0,0,0,No Fence,No Extra Feature,0,August 2009,Warranty Deed - Conventional,Normal Sale,184900,18.33779629078647,6
937,2-STORY 1946 & NEWER,Residential Low-Density,75,9675,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,341,Unfinished,0,772,1113,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1113,858,1971,2,1,3,1,Good,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Rough Finished,2,689,Typical/Average,Typical/Average,Paved,0,48,0,0,0,No Fence,No Extra Feature,0,February 2009,Warranty Deed - Conventional,Normal Sale,253000,26.149870801033593,4
938,2-STORY 1946 & NEWER,Residential Low-Density,73,8760,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Good,Mimimum Exposure,Good Living Quarters,464,Unfinished,0,927,1391,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1391,571,1962,2,1,3,1,Good,7,0,No Fireplace,Attached to the home,2006,Rough Finished,3,868,Typical/Average,Typical/Average,Paved,0,90,0,0,0,No Fence,No Extra Feature,0,August 2006,Home just constructed and sold,Home was not completed when last assessed,239799,27.37431506849315,0
939,2-STORY 1945 & OLDER,Residential Low-Density,0,24090,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Clear Creek,Normal,Good,Good,1940,1950,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,1032,1032,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1207,1196,2403,2,0,4,1,Average/Typical,10,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1940,Unfinished,1,349,Typical/Average,Typical/Average,Paved,56,0,318,0,0,No Fence,No Extra Feature,0,June 2010,Court Officer Deed/Estate,Normal Sale,244400,10.145288501452885,70
940,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,55,12640,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,Normal,Above Average,Average,1976,1976,Gable,Standard (Composite) Shingle,Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Rec Room,936,Low Quality,396,396,1728,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1728,0,1728,2,0,4,2,Average/Typical,8,0,No Fireplace,Attached to the home,1976,Unfinished,2,574,Typical/Average,Typical/Average,Paved,40,0,0,0,0,No Fence,No Extra Feature,0,July 2006,Warranty Deed - Conventional,Normal Sale,150900,11.938291139240507,30
941,2-STORY 1946 & NEWER,Residential Low-Density,0,8755,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Gilbert,Within 200' of North-South Railroad & Normal,Good,Average,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,772,Unfinished,0,220,992,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1022,1038,2060,2,1,3,1,Good,8,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1999,Rough Finished,2,390,Typical/Average,Typical/Average,Paved,0,0,0,168,0,Good Privacy,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,214000,24.44317532838378,10
943,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,100,25000,Paved,No Alley Access,Regular,Depression,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,Normal,Average,Below Average,1967,1967,Gable,Standard (Composite) Shingle,Hard Board & Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1632,1632,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1632,0,1632,2,0,4,2,Average/Typical,8,0,No Fireplace,Attached to the home,1967,Unfinished,2,576,Typical/Average,Typical/Average,Partial Pavement,0,0,0,0,0,No Fence,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,143000,5.72,40
944,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,14375,Paved,No Alley Access,Slightly Irregular,Near Flat Level,Electricity and Gas Only,Cul-De-Sac,Gentle Slope,Timberland,Normal,Above Average,Above Average,1958,1958,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,111,Average Rec Room,354,354,819,Gas forced warm air furnace,Good,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1344,0,1344,1,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Basement Garage,1958,Rough Finished,2,525,Typical/Average,Typical/Average,Paved,0,118,0,0,233,No Fence,No Extra Feature,0,January 2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",137500,9.565217391304348,51
945,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,98,8820,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Old Town,Normal,Average,Above Average,1890,1996,Hip,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,1088,Unfinished,0,0,1088,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1188,561,1749,1,0,2,1,Average/Typical,7,0,No Fireplace,Detached from home,1963,Unfinished,2,456,Typical/Average,Typical/Average,Paved,48,0,244,0,0,Minimum Wood/Wire,No Extra Feature,0,September 2009,Warranty Deed - Conventional,Normal Sale,124900,14.160997732426305,119
